project,department,category,year,project_id,cost_m,variance_pct,duration_months,rating,delivery_score,cost_score,duration_score,variance_score,risk_score,risk_tier,source_file
UK Health Security Campus,DHSC,Infrastructure and Construction,2025-26,DOH_0017_1112-Q1,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
FRONTLINE DIGITISATION,DHSC,Information and Communications Technology (ICT),2025-26,DHSC_0071_2122-Q1,2080.52,2.61,59.95400788436268,AMBER,25.0,20,10,5,60.0,High,GMPP_2025_26.xlsx
NHS Digital Transformation of Screening,DHSC,Government Transformation and Service Delivery,2025-26,DHSC_0069_2021-Q4,94.5,11.46,131.9316688567674,,,5,20,10,,Not scored,GMPP_2025_26.xlsx
Future NHS Workforce Solution Transformation Programme,DHSC,Information and Communications Technology (ICT),2025-26,DHSC_0041_2122-Q3,,,133.86990801576871,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
MODERNA STRATEGIC PARTNERSHIP PROGRAMME,DHSC,Government Transformation and Service Delivery,2025-26,DHSC_0243_2324-Q1,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
NEW HOSPITAL PROGRAMME,DHSC,Infrastructure and Construction,2025-26,DHSC_0066_2021-Q2,47523.91,24.01,303.05519053876475,AMBER,25.0,25,20,15,85.0,Critical,GMPP_2025_26.xlsx
INTEGRATED SINGLE FINANCIAL ENVIRONMENT,DHSC,Information and Communications Technology (ICT),2025-26,DHSC_0067_2021-Q3,187.99,0.97,91.95137976346912,GREEN,5.0,10,15,5,35.0,Medium,GMPP_2025_26.xlsx
FEDERATED DATA PLATFORM,DHSC,Government Transformation and Service Delivery,2025-26,DHSC_0252_2324-Q1,1084.31,0.71,119.97371879106439,,,20,15,5,,Not scored,GMPP_2025_26.xlsx
Met Office Supercomputer Programme,DSIT,Information and Communications Technology (ICT),2025-26,BEIS_0005_1920-Q4,1204.33,11.68,174.2772667542707,,,20,20,10,,Not scored,GMPP_2025_26.xlsx
GOV.UK One Login,DSIT,Government Transformation and Service Delivery,2025-26,CO_0033_2122-Q1,708.86,5.7,86.82654402102496,AMBER,25.0,15,15,5,60.0,High,GMPP_2025_26.xlsx
Project Gigabit,DSIT,Infrastructure and Construction,2025-26,DCMS_0019_2021-Q4,5214.96,29.11,140.9986859395532,,,25,20,15,,Not scored,GMPP_2025_26.xlsx
Shared Rural Network,DSIT,Infrastructure and Construction,2025-26,DCMS_0020_2122-Q1,328.19,24.62,251.05124835742444,,,10,20,15,,Not scored,GMPP_2025_26.xlsx
MATRIX CLUSTER TRANSFORMATION PROGRAMME,DSIT,Government Transformation and Service Delivery,2025-26,BEIS_0079_2122-Q4,889.81,5.38,67.8712220762155,,,15,15,5,,Not scored,GMPP_2025_26.xlsx
Health Transformation Programme,DWP,Government Transformation and Service Delivery,2025-26,DWP_0028_1819-Q3,735.46,10.98,138.04204993429698,AMBER,25.0,15,20,10,70.0,Critical,GMPP_2025_26.xlsx
Workplace Transformation,DWP,Government Transformation and Service Delivery,2025-26,DWP_0013_2122-Q2,3367.17,2.09,128.94218134034165,AMBER,25.0,20,20,5,70.0,Critical,GMPP_2025_26.xlsx
SERVICE MODERNISATION PROGRAMME,DWP,Government Transformation and Service Delivery,2025-26,DWP_0217_2223-Q4,1150.0,13.19,131.96452036793693,AMBER,25.0,20,20,10,75.0,Critical,GMPP_2025_26.xlsx
PENSIONS DASHBOARD PROGRAMME,DWP,Information and Communications Technology (ICT),2025-26,DWP_0029_2021-Q4,,11.19,95.9592641261498,AMBER,25.0,0,15,10,50.0,High,GMPP_2025_26.xlsx
Connect to Work,DWP,Government Transformation and Service Delivery,2025-26,DWP_0304_2324-Q3,1094.99,1.47,,GREEN,5.0,20,0,5,30.0,Medium,GMPP_2025_26.xlsx
Skills Bootcamps,DWP,Government Transformation and Service Delivery,2025-26,DFE_0017_2021-Q3,790.39,62.08,,,,15,0,15,,Not scored,GMPP_2025_26.xlsx
SYNERGY PROGRAMME,DWP,Government Transformation and Service Delivery,2025-26,DWP_0042_2122-Q3,1990.99,5.21,94.02102496714849,AMBER,25.0,20,15,5,65.0,High,GMPP_2025_26.xlsx
"TOKYO NEW BUILD, REMODELLING AND REFURBISHMENT",FCDO,Infrastructure and Construction,2025-26,FCO_0216_2223-Q4,111.25,49.57,,,,10,0,15,,Not scored,GMPP_2025_26.xlsx
LOCAL LAND CHARGES (LLC) PROGRAMME,HMLR,Government Transformation and Service Delivery,2025-26,BIS_0015_1516-Q1,346.22,6.41,177.95663600525623,,,10,20,5,,Not scored,GMPP_2025_26.xlsx
ENTERPRISE TAX MANAGEMENT PLATFORM (ETMP),HMRC,Government Transformation and Service Delivery,2025-26,HMRC_0292_2324-Q3,480.87,12.61,94.053876478318,,,10,15,10,,Not scored,GMPP_2025_26.xlsx
Enterprise Customer Relationship Management (eCRM) ,HMRC,Government Transformation and Service Delivery,2025-26,HMRC_0543_2526-Q2,256.75,35.83,59.88830486202365,AMBER,25.0,10,10,15,60.0,High,GMPP_2025_26.xlsx
UNITY PROGRAMME,HMRC,Government Transformation and Service Delivery,2025-26,HMRC_0031_2122-Q3,245.97,0.29,86.892247043364,RED,40.0,10,15,5,70.0,Critical,GMPP_2025_26.xlsx
HMRC NORTHERN IRELAND DELIVERY PROGRAMME,HMRC,Information and Communications Technology (ICT),2025-26,HMRC_0164_2223-Q3,712.9,0.0,59.95400788436268,,,15,10,0,,Not scored,GMPP_2025_26.xlsx
MAKING TAX DIGITAL,HMRC,Information and Communications Technology (ICT),2025-26,HMRC_0017_1617-Q2,1484.62,0.34,155.94612352168198,AMBER,25.0,20,20,5,70.0,Critical,GMPP_2025_26.xlsx
BUILDING OUR FUTURE LOCATIONS PROGRAMME,HMRC,Government Transformation and Service Delivery,2025-26,HMRC_0015_1617-Q1,2831.53,5.31,182.95006570302232,,,20,20,5,,Not scored,GMPP_2025_26.xlsx
Contact Centre as a Service (CCaaS),HMRC,Government Transformation and Service Delivery,2025-26,HMRC_0544_2526-Q2,571.86,10.87,30.913272010512483,AMBER,25.0,15,5,10,55.0,High,GMPP_2025_26.xlsx
NS&I Transformation,HMT,Government Transformation and Service Delivery,2025-26,HMT_0004_2021-Q2,,,,RED,40.0,0,0,0,40.0,Medium,GMPP_2025_26.xlsx
NATIONAL STRATEGIC AUTOMATIC NUMBER PLATE RECOGNITION PLATFORM (NSAP),HO,Government Transformation and Service Delivery,2025-26,HO_0332_2324-Q4,391.77,5.91,84.95400788436268,,,10,15,5,,Not scored,GMPP_2025_26.xlsx
MARITIME CAPABILITIES REPLACEMENT PROGRAMME,HO,Government Transformation and Service Delivery,2025-26,HO_0150_2223-Q2,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
Civil Registration Service Transformation (CReST),HO,Government Transformation and Service Delivery,2025-26,HO_0373_2425-Q1,326.85,24.37,,,,10,0,15,,Not scored,GMPP_2025_26.xlsx
ASYLUM TRANSFORMATION PROGRAMME,HO,Government Transformation and Service Delivery,2025-26,HO_0183_2223-Q3,429.95,16.1,,AMBER,25.0,10,0,10,45.0,Medium,GMPP_2025_26.xlsx
FRAUD AND CYBER CRIME REPORTING AND ANALYSIS SERVICE,HO,Government Transformation and Service Delivery,2025-26,HO_0045_2122-Q1,169.06,0.0,,,,10,0,0,,Not scored,GMPP_2025_26.xlsx
RADIOLOGICAL AND NUCLEAR CHANGE PROGRAMME (RNCP),HO,Government Transformation and Service Delivery,2025-26,HO_0047_2122-Q1,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
Asylum Support Accommodation Programme,HO,Government Transformation and Service Delivery,2025-26,HO_0286_2324-Q2,,,,RED,40.0,0,0,0,40.0,Medium,GMPP_2025_26.xlsx
Immigration Removal Centre (IRC) Expansion Programme,HO,Infrastructure and Construction,2025-26,HO_0330_2324-Q4,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
Law Enforcement Data Service,HO,Information and Communications Technology (ICT),2025-26,HO_0036_1617-Q2,1086.68,35.18,152.98948751642575,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2025_26.xlsx
Police National Database (PND),HO,Information and Communications Technology (ICT),2025-26,HO_0331_2324-Q4,282.64,74.22,,AMBER,25.0,10,0,15,50.0,High,GMPP_2025_26.xlsx
EMERGENCY SERVICES MOBILE COMMUNICATIONS,HO,Information and Communications Technology (ICT),2025-26,HO_0016_1213-Q1,18139.58,49.93,,AMBER,25.0,25,0,15,65.0,High,GMPP_2025_26.xlsx
Cerberus,HO,Government Transformation and Service Delivery,2025-26,HO_0042_2021-Q3,285.1,3.41,122.96320630749014,,,10,20,5,,Not scored,GMPP_2025_26.xlsx
ANTI-MONEY LAUNDERING AND ASSET RECOVERY (AMLAR),HO,Government Transformation and Service Delivery,2025-26,HO_0228_2223-Q4,368.47,8.89,,,,10,0,5,,Not scored,GMPP_2025_26.xlsx
FUTURE BORDER AND IMMIGRATION SYSTEM PROGRAMME (FBIS),HO,Government Transformation and Service Delivery,2025-26,HO_0039_1920-Q4,5140.89,18.09,107.95006570302233,AMBER,25.0,25,15,10,75.0,Critical,GMPP_2025_26.xlsx
HOME OFFICE BIOMETRICS (HOB) PROGRAMME,HO,Information and Communications Technology (ICT),2025-26,HO_0033_1415-Q3,1809.85,2.74,152.98948751642575,AMBER,25.0,20,20,5,70.0,Critical,GMPP_2025_26.xlsx
ASYLUM ACCOMMODATION PROGRAMME (AAP),HO,Government Transformation and Service Delivery,2025-26,HO_0149_2223-Q2,,,,RED,40.0,0,0,0,40.0,Medium,GMPP_2025_26.xlsx
Levelling Up Home Building Fund,MHCLG,Infrastructure and Construction,2025-26,DLUHC_0135_2223-Q1,1990.98,17.49,136.13666228646517,,,20,20,10,,Not scored,GMPP_2025_26.xlsx
GRENFELL SITE AND PROGRAMME,MHCLG,Infrastructure and Construction,2025-26,MHCLG_0001_1920-Q3,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
HOUSING INFRASTRUCTURE FUND,MHCLG,Infrastructure and Construction,2025-26,MHCLG_0004_2021-Q4,4250.15,8.96,134.98685939553218,,,20,20,5,,Not scored,GMPP_2025_26.xlsx
"Brownfield, Infrastructure & Land (BIL) ",MHCLG,Infrastructure and Construction,2025-26,DLUHC_0364_2324-Q4,1506.89,0.0,92.96977660972405,,,20,15,0,,Not scored,GMPP_2025_26.xlsx
DIGITAL PLANNING PROGRAMME,MHCLG,Government Transformation and Service Delivery,2025-26,DLUHC_0181_2223-Q3,218.54,0.0,,AMBER,25.0,10,0,0,35.0,Medium,GMPP_2025_26.xlsx
Remediation Portfolio,MHCLG,Infrastructure and Construction,2025-26,DLUHC_0250_2324-Q1,9726.6,5.3,153.15374507227332,RED,40.0,25,20,5,90.0,Critical,GMPP_2025_26.xlsx
Freeports,MHCLG,Infrastructure and Construction,2025-26,MHCLG_0008_2122-Q1,378.33,0.0,133.83705650459922,,,10,20,0,,Not scored,GMPP_2025_26.xlsx
UK HOLOCAUST MEMORIAL AND LEARNING CENTRE,MHCLG,Infrastructure and Construction,2025-26,MHCLG_0005_2021-Q4,141.87,55.21,,,,10,0,15,,Not scored,GMPP_2025_26.xlsx
Affordable Homes Programme (AHP),MHCLG,Infrastructure and Construction,2025-26,DLUHC_0138_2223-Q1,12230.5,0.0,110.84099868593955,AMBER,25.0,25,15,0,65.0,High,GMPP_2025_26.xlsx
FUTURE CRUISE ANTI SHIP WEAPON (FCASW),MOD,Military Capability,2025-26,MOD_0139_2122-Q1,,,631.9316688567674,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
MODNET EVOLVE,MOD,Information and Communications Technology (ICT),2025-26,MOD_0110_1718-Q1,309.19,38.37,125.0,GREEN,5.0,10,20,15,50.0,High,GMPP_2025_26.xlsx
PROTECTOR,MOD,Military Capability,2025-26,MOD_0107_1617-Q1,1732.77,33.4,253.97503285151114,,,20,20,15,,Not scored,GMPP_2025_26.xlsx
MULTI ROLE STRIKE SHIP,MOD,Military Capability,2025-26,MOD_0320_2324-Q3,,,189.9802890932983,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
FUTURE AIR DOMINANCE SYSTEM,MOD,Military Capability,2025-26,MOD_0479_2425-Q4,,30.71,282.95006570302235,RED,40.0,0,20,15,75.0,Critical,GMPP_2025_26.xlsx
COLLECTIVE TRAINING TRANSFORMATION PROGRAMME,MOD,Military Capability,2025-26,MOD_0121_2021-Q4,2083.25,23.24,261.9250985545335,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2025_26.xlsx
TYPE 26 GLOBAL COMBAT SHIP PROGRAMME,MOD,Military Capability,2025-26,MOD_0055_1112-Q1,,,342.3455978975033,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
CLYDE INFRASTRUCTURE,MOD,Military Capability,2025-26,MOD_0118_1718-Q3,3324.98,7.43,198.784494086728,AMBER,25.0,20,20,5,70.0,Critical,GMPP_2025_26.xlsx
ASTUTE BOATS 1-7,MOD,Military Capability,2025-26,MOD_0076_1213-Q1,14428.06,,,,,25,0,0,,Not scored,GMPP_2025_26.xlsx
SKYNET 6 (AKA FBLOS),MOD,Information and Communications Technology (ICT),2025-26,MOD_0100_1516-Q1,,,371.9448094612352,RED,40.0,0,20,0,60.0,High,GMPP_2025_26.xlsx
DREADNOUGHT,MOD,Military Capability,2025-26,MOD_0080_1213-Q1,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
BRIMSTONE 3,MOD,Military Capability,2025-26,MOD_0141_2122-Q1,,,166.29434954007883,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
TEUTATES,MOD,Military Capability,2025-26,MOD_0134_2122-Q1,,,206.96452036793693,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
SUBMARINE WATERFRONT INFRASTRUCTURE FUTURE,MOD,Infrastructure and Construction,2025-26,MOD_0011_2122-Q2,2230.52,17.7,172.60183968462547,RED,40.0,20,20,10,90.0,Critical,GMPP_2025_26.xlsx
SPEARFISH UPGRADE PROGRAMME,MOD,Military Capability,2025-26,MOD_0047_1112-Q1,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
MENSA,MOD,Military Capability,2025-26,MOD_0132_2122-Q1,3555.91,2.6,,AMBER,25.0,20,0,5,50.0,High,GMPP_2025_26.xlsx
ARMED FORCES RECRUITING PROGRAMME,MOD,Military Capability,2025-26,MOD_0119_1920-Q2,201.02,16.24,121.51773981603154,,,10,20,10,,Not scored,GMPP_2025_26.xlsx
ARMOUR MBT 2025,MOD,Military Capability,2025-26,MOD_0104_1617-Q1,1979.22,33.29,214.22470433639947,RED,40.0,20,20,15,95.0,Critical,GMPP_2025_26.xlsx
NEXT GENERATION (FIXED) COMMUNICATION NETWORK,MOD,Information and Communications Technology (ICT),2025-26,MOD_0126_2021-Q4,,,106.86596583442838,RED,40.0,0,15,0,55.0,High,GMPP_2025_26.xlsx
Future Materials Campus,MOD,Military Capability,2025-26,MOD_0247_2324-Q1,,9.19,,,,0,0,5,,Not scored,GMPP_2025_26.xlsx
LAND ENVIRONMENT TACTICAL COMMUNICATION AND INFORMATION SYSTEMS,MOD,Military Capability,2025-26,MOD_0105_1617-Q1,7734.29,47.19,266.4586070959264,AMBER,25.0,25,20,15,85.0,Critical,GMPP_2025_26.xlsx
DEFENCE ESTATE OPTIMISATION,MOD,Military Capability,2025-26,MOD_0114_1718-Q1,5949.19,47.58,293.95532194480944,,,25,20,15,,Not scored,GMPP_2025_26.xlsx
MARSHALL,MOD,Military Capability,2025-26,MOD_0033_1112-Q1,1997.56,35.46,246.9119579500657,,,20,20,15,,Not scored,GMPP_2025_26.xlsx
SPEARCAP 3,MOD,Military Capability,2025-26,MOD_0140_2122-Q1,,,326.97109067017084,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
SUBMERSIBLE SHIP NUCLEAR AUKUS,MOD,Military Capability,2025-26,MOD_0007_2122-Q2,,,348.91590013140603,AMBER,25.0,0,20,0,45.0,Medium,GMPP_2025_26.xlsx
CORE PRODUCTION CAPABILITY,MOD,Military Capability,2025-26,MOD_0078_1213-Q1,7784.34,7.77,380.2233902759527,AMBER,25.0,25,20,5,75.0,Critical,GMPP_2025_26.xlsx
NEW STYLE OF INFORMATION TECHNOLOGY DEPLOYED,MOD,Information and Communications Technology (ICT),2025-26,MOD_0109_1617-Q2,1598.79,2.42,167.96977660972405,RED,40.0,20,20,5,85.0,Critical,GMPP_2025_26.xlsx
Mobile Fires Platform,MOD,Military Capability,2025-26,MOD_0527_2526-Q1,,,,AMBER,25.0,0,0,0,25.0,Low,GMPP_2025_26.xlsx
FLEET SOLID SUPPORT,MOD,Military Capability,2025-26,MOD_0116_1718-Q2,,17.02,208.44283837056503,,,0,20,10,,Not scored,GMPP_2025_26.xlsx
ARMOURED CAVALRY 2025,MOD,Military Capability,2025-26,MOD_0091_1415-Q3,8935.68,23.88,183.83705650459922,RED,40.0,25,20,15,100.0,Critical,GMPP_2025_26.xlsx
EUROPEAN COMMON RADAR SYSTEM MK 2,MOD,Military Capability,2025-26,MOD_0137_2122-Q1,2899.01,15.13,190.9329829172142,,,20,20,10,,Not scored,GMPP_2025_26.xlsx
E7 WEDGETAIL,MOD,Military Capability,2025-26,MOD_0120_2021-Q2,2128.05,52.85,145.7621550591327,,,20,20,15,,Not scored,GMPP_2025_26.xlsx
"LAND INTELLIGENCE, SURVEILLANCE, TARGET ACQUISITION AND RECONNAISSANCE (ISTAR)",MOD,Military Capability,2025-26,MOD_0056_2122-Q3,1498.14,34.54,171.1892247043364,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2025_26.xlsx
CHINOOK CAPABILITY SUSTAINMENT PROGRAMME (CSP),MOD,Military Capability,2025-26,MOD_0009_2122-Q2,1959.31,20.24,163.00919842312746,,,20,20,15,,Not scored,GMPP_2025_26.xlsx
LIGHTNING PROGRAMME,MOD,Military Capability,2025-26,MOD_0079_1213-Q1,,,293.92247043363994,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
MINE HUNTING CAPABILITY,MOD,Military Capability,2025-26,MOD_0124_2021-Q4,,,233.93561103810774,,,0,20,0,,Not scored,GMPP_2025_26.xlsx
FUTURE COMBAT AIR SYSTEM,MOD,Military Capability,2025-26,MOD_0122_2021-Q4,,4.65,,RED,40.0,0,0,5,45.0,Medium,GMPP_2025_26.xlsx
TYPE 31,MOD,Military Capability,2025-26,MOD_0112_1718-Q1,,,207.95006570302232,RED,40.0,0,20,0,60.0,High,GMPP_2025_26.xlsx
GROUND BASED AIR DEFENCE (GBAD),MOD,Military Capability,2025-26,MOD_0144_2122-Q1,1454.95,43.75,185.9724047306176,AMBER,25.0,20,20,15,80.0,Critical,GMPP_2025_26.xlsx
JOINT CRYPT KEY PROGRAMME,MOD,Information and Communications Technology (ICT),2025-26,MOD_0111_1718-Q1,,,,,,0,0,0,,Not scored,GMPP_2025_26.xlsx
NAVAL SUPPORT INTEGRATED GLOBAL NETWORK (NSIGN),MOD,Military Capability,2025-26,MOD_0136_2122-Q1,14352.16,,96.9119579500657,,,25,15,0,,Not scored,GMPP_2025_26.xlsx
NEW MEDIUM HELICOPTER,MOD,Military Capability,2025-26,MOD_0125_2021-Q4,1404.92,13.57,193.00262812089355,,,20,20,10,,Not scored,GMPP_2025_26.xlsx
SUBMARINE DISMANTLING PROJECT,MOD,Military Capability,2025-26,MOD_0135_2122-Q1,541.73,16.06,187.08935611038106,,,15,20,10,,Not scored,GMPP_2025_26.xlsx
MECHANISED INFANTRY PROGRAMME,MOD,Military Capability,2025-26,MOD_0115_1718-Q2,5033.66,54.27,190.40735873850196,AMBER,25.0,25,20,15,85.0,Critical,GMPP_2025_26.xlsx
Small Secure Houseblocks ,MOJ,Infrastructure and Construction,2025-26,MOJ_0144_2223-Q2,,30.23,83.37713534822602,AMBER,25.0,0,15,15,55.0,High,GMPP_2025_26.xlsx
10K Additional Prison Places Estate Expansion Houseblocks and Refurbishments,MOJ,Infrastructure and Construction,2025-26,MOJ_0113_2122-Q2,,56.9,137.71353482260184,RED,40.0,0,20,15,75.0,Critical,GMPP_2025_26.xlsx
Electronic Monitoring Expansion,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0058_2122-Q1,1161.1,6.34,65.40735873850197,AMBER,25.0,20,15,5,65.0,High,GMPP_2025_26.xlsx
Evolve: WAN/LAN (Networks),MOJ,Information and Communications Technology (ICT),2025-26,MOJ_0050_2122-Q3,253.89,78.81,86.59658344283837,,,10,15,15,,Not scored,GMPP_2025_26.xlsx
Community Support Programme,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0537_2526-Q1,1024.83,0.0,72.27332457293035,,,20,15,0,,Not scored,GMPP_2025_26.xlsx
Decommission and Legacy Risk Migration (DLRM),MOJ,Information and Communications Technology (ICT),2025-26,MOJ_0061_2122-Q3,273.28,19.12,86.99080157687253,,,10,15,10,,Not scored,GMPP_2025_26.xlsx
Evolve: End User Computer Service (EUCS),MOJ,Information and Communications Technology (ICT),2025-26,MOJ_0062_2122-Q3,190.18,37.88,60.57818659658344,,,10,15,15,,Not scored,GMPP_2025_26.xlsx
Prisoner Education Services,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0064_2122-Q3,1755.13,3.85,70.0065703022339,,,20,15,5,,Not scored,GMPP_2025_26.xlsx
Rapid Deployment Cells Project,MOJ,Infrastructure and Construction,2025-26,MOJ_0057_2122-Q1,,28.85,84.13272010512483,AMBER,25.0,0,15,15,55.0,High,GMPP_2025_26.xlsx
Property Transformation Programme,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0220_2223-Q4,,,71.9119579500657,,,0,15,0,,Not scored,GMPP_2025_26.xlsx
Evolve: Voice & Video,MOJ,Information and Communications Technology (ICT),2025-26,MOJ_0049_2122-Q3,184.56,45.34,81.53745072273324,,,10,15,15,,Not scored,GMPP_2025_26.xlsx
10k Additional Prison Places - New Build,MOJ,Infrastructure and Construction,2025-26,MOJ_0050_2021-Q1,,2.38,146.94480946123522,AMBER,25.0,0,20,5,50.0,High,GMPP_2025_26.xlsx
PFI Prison Expiry and Transfer Tranche 2,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0060_2122-Q3,2730.04,3.0,54.23784494086728,,,20,10,5,,Not scored,GMPP_2025_26.xlsx
Secure Children's Homes Commissioning,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0259_2324-Q1,270.91,4.83,45.072273324572926,,,10,10,5,,Not scored,GMPP_2025_26.xlsx
10K Additional Prison Places Estate Expansion Category D,MOJ,Infrastructure and Construction,2025-26,MOJ_0111_2122-Q2,,65.99,133.8042049934297,RED,40.0,0,20,15,75.0,Critical,GMPP_2025_26.xlsx
Residential Property Tribunal,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0539_2526-Q2,149.6,78.84,45.630749014454665,,,10,10,15,,Not scored,GMPP_2025_26.xlsx
Accelerated Houseblocks,MOJ,Infrastructure and Construction,2025-26,MOJ_0053_2021-Q4,,16.07,121.09067017082785,AMBER,25.0,0,20,10,55.0,High,GMPP_2025_26.xlsx
PFI Prison Expiry and Transfer Tranche 3,MOJ,Government Transformation and Service Delivery,2025-26,MOJ_0365_2425-Q1,3335.69,82.16,79.5006570302234,,,20,15,15,,Not scored,GMPP_2025_26.xlsx
Concordis,NCA,Government Transformation and Service Delivery,2025-26,HO_0526_2526-Q1,189.75,0.0,,,,10,0,0,,Not scored,GMPP_2025_26.xlsx
VOA NextGen Rating Programme,VOA,Government Transformation and Service Delivery,2025-26,HMRC_0143_2223-Q2,300.38,5.53,65.9658344283837,AMBER,25.0,10,15,5,55.0,High,GMPP_2025_26.xlsx
